state_name,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,0,5363646.8641551845,2326078.2427448514,573029.150460343,3001531.3272877675,1800869.2126211012,1549683.7634029116,1233643.052215702,1097068.4726673365,757451.1758788266,275969.1101109642,7016792.177710906,2734356.95915403,925443.0917731078,797111.1890505835,1139694.536998531,1073594.3821618313,550568.1415993354,511199.7098255776,1944261.3880970494,1127651.3716831706,1700507.331921053,1118089.3095824986,1478950.988379687,269936.3041798744,774269.6535358623,2563218.744053053,1314138.3871616214,2745578.913556753,1749165.9208009096,1375638.6968955512,1812155.7924651888,1428433.4449878011,714284.9416278724,1923506.9240189379,906648.7091682453,971956.3490192234,3335960.305290976,1194424.6268017294,1665502.3435734974,546074.1503689656,1630039.1282563526,310728.4836048463,1032119.7666208034,2380037.7895001546,1725013.4188996789,961860.330716135,3329623.794767581,830543.1229859998,1205879.1430660484,2067998.916189752
Alaska,5363646.8641551845,0,4068654.7571112104,4876990.0348125165,3535641.68990435,3813544.906678679,5354948.500665862,5391511.808598431,5360376.055219521,6116038.383935739,5497299.982708547,4497835.175892628,2907539.64270698,4548882.991517178,4754470.078205098,4236019.050290935,4352221.014388571,5016302.562258948,5325012.946502431,5274754.544286085,5350759.151605102,5365930.847613492,4640474.862540341,3936756.9893820537,5252208.753398858,4589939.653415778,2881748.383722248,4066551.8073170204,3460963.198655053,5285309.803585304,5364184.3472340815,4207550.8278979855,5254863.402231214,5515005.201969974,3450226.8854994792,4916096.22331251,4594462.645787567,2506865.1868693433,5219168.34887138,5407244.412489045,5578193.403922252,3735685.758979873,5130763.789920683,4989863.243458141,3391432.1352341035,5138601.708125908,5420600.149810306,2313936.64299628,5167588.740720262,4308360.611220568,3444820.393373197
Arizona,2326078.2427448514,4068654.7571112104,0,1784331.7200140266,735372.5427420962,900949.8905741868,3527856.8528873413,3294319.6759401816,3169043.730997038,2942971.9830098455,2593872.763543195,4691146.311113838,1236098.1386168632,2240542.58790326,2389318.7466295315,1902311.9654703157,1481030.8238354705,2446243.053646201,1937175.8755027163,3805415.0209935308,3188034.633168355,3654718.0019040713,2627080.441922914,2038847.2518648037,2069947.6731140951,1859665.3311066611,1499001.9371845599,1534455.766233121,627642.9910582845,3652555.1420952547,3393154.491856291,526151.3059460451,3375986.9790641265,2948175.237888909,1875988.0846818127,2691464.990254594,1390279.782341971,1567960.172127051,3165034.172836047,3647247.9020698243,2840622.958507063,1619746.3656666235,2334292.2472909214,1375622.3897495267,792324.386334786,3552790.87792985,3094826.697269135,1761878.521513812,2832997.007218085,2284823.159097493,1112671.99962167
Arkansas,573029.150460343,4876990.0348125165,1784331.7200140266,0,2439436.8437135145,1230181.4676661654,1856538.148246245,1577070.884474005,1442369.028728953,1302719.2214103984,821238.493238819,6466165.944527617,2173917.0413067658,778116.519256932,792728.4299225528,774240.1233150935,529178.5855479467,719669.092941903,486594.91891256545,2205021.6438913634,1466700.8146801752,1999851.5791206565,1130772.6263432382,1137741.2699158431,380482.79129064607,384633.3210042205,2031401.438210618,813263.2513409471,2176174.9004201298,2023735.4890397096,1698319.085451599,1261724.4491723499,1713136.824516146,1168158.8757004777,1493438.9160536772,1051910.9680647121,403224.5986713918,2771293.2714671637,1480756.0162775933,1978426.6956566118,1057225.2208437938,1155732.8856395073,556727.0639207261,643363.1594351131,1808116.3314682466,1960118.1124141524,1343573.499739152,2778044.7457060246,1113875.871267144,1012804.2150386642,1513352.3770006697
California,3001531.3272877675,3535641.68990435,735372.5427420962,2439436.8437135145,0,1330194.3938559885,4063052.635276175,3863033.4486176595,3746882.6412012707,3653447.3946829434,3260183.9526120904,4035527.604830955,1042471.5004680932,2766755.4093707176,2943398.0077262316,2389272.6836529174,2050868.691995075,3046635.1084721377,2647957.3016274697,4294102.56550443,3761981.983107701,4177124.8182158447,3128668.5496667554,2428495.6634818274,2756666.2453088304,2442124.307393025,1444356.0081493242,2011172.5682083913,332672.9714830894,4160883.805771659,3945617.517483888,1196556.8288416443,3910981.834127709,3577563.746613118,2121619.284925147,3242751.6692189877,2036369.3723178986,1065362.6626899168,3718160.6978063257,4177771.4359159963,3492057.9902211856,1976674.9259179644,2969635.0186819523,2097846.454919286,864326.6282733985,4046021.546994032,3691674.546045019,1335851.109492469,3415684.434909896,2748564.8194676535,1334498.2455405553
Colorado,1800869.2126211012,3813544.906678679,900949.8905741868,1230181.4676661654,1330194.3938559885,0,2732860.180620553,2537597.5768630137,2424815.0668191197,2527708.787254367,2031213.783864311,5345382.661387763,965310.0982720859,1437064.2442676406,1618098.8337885963,1060289.3657583764,754169.786647674,1743280.5814155426,1582769.0640899187,2970762.154065317,2438495.560497537,2847481.2695876816,1799913.3936691987,1144999.384102793,1597652.3980095347,1138899.2982418984,943653.9635908953,681701.9520641472,1019244.9783117994,2832970.2179098036,2616699.855873596,550316.0181158176,2580802.8690112326,2290799.5077361534,995703.9734451037,1915305.2644391742,853157.2043319937,1547545.4941960585,2389744.393249832,2847658.866135703,2233074.860744761,718797.2342506304,1702505.7378104052,1177455.461001416,580669.9180498829,2720977.8880706504,2378710.581611134,1586050.691320826,2097619.6612686357,1427293.9754646248,380222.3681394593
Connecticut,1549683.7634029116,5354948.500665862,3527856.8528873413,1856538.148246245,4063052.635276175,2732860.180620553,0,323716.0717250843,454869.69984183146,1717344.5850482748,1331612.3352586708,8053632.584298151,3416624.9944963134,1297676.6693565687,1138786.9593406874,1676222.171567639,2046921.7057444514,1137083.3304175765,2050961.3315799967,412160.6831919888,423230.8606661636,150944.07339286877,942871.5168061389,1726097.2148703656,1784278.7823961375,1673089.0048372527,3077349.8895175178,2052688.3091283955,3748298.7161158025,218140.13737317253,176100.10057994915,3009829.5167169794,152371.92743801582,885179.4412285819,2200310.945872721,837297.1951786262,2183998.7875765436,3999434.908537399,375782.34386039426,121987.86010872432,1095741.7189619744,2155355.4473980623,1338087.860479922,2485614.3259695144,3254981.2330172206,285290.8332689602,602040.4191126936,3870715.4138336047,747490.1980915611,1342845.1774209205,2806724.1738498406
Delaware,1233643.052215702,5391511.808598431,3294319.6759401816,1577070.884474005,3863033.4486176595,2537597.5768630137,323716.0717250843,0,137846.8325310288,1407620.1859924498,1009122.1927924458,7880190.162661122,3284304.7425549775,1107325.245910776,919800.0323943209,1501795.9294370983,1821100.8551502135,861325.8784811448,1739246.6872214095,734251.2187835803,110564.59786905338,473457.58685393137,813537.5987202473,1615548.6345870246,1475378.134537032,1435289.0796602755,2971905.57751403,1867514.9302825576,3556842.307931896,537821.7927767059,148107.71999429804,2770928.4234393355,245698.53980804564,561703.5427411584,2113763.983025782,623818.1714670226,1925845.5301638907,3880040.837263831,175431.39574006107,433559.5782885458,772399.1915981214,2015869.1646340124,1040457.0809450396,2193859.1745609846,3081539.7034624424,563032.3413284338,278513.2756815515,3774681.4260756066,465770.3785041082,1214173.4856478022,2649903.284944316
District of Columbia,1097068.4726673365,5360376.055219521,3169043.730997038,1442369.028728953,3746882.6412012707,2424815.0668191197,454869.69984183146,137846.8325310288,0,1305079.2201146844,877158.9906630953,7769792.612208931,3191430.4986723852,1004025.9775274463,807749.7321423723,1400626.08555481,1700397.476613905,729372.1760439161,1601834.549082872,860562.2923392643,32788.45473020278,605712.9413018702,743363.0112641554,1538205.6688292273,1337643.933278233,1312195.1900041245,2889581.3132954137,1760258.354116106,3443646.796536729,663503.10061314,279288.8844836108,2644689.9997181715,352857.50435078255,439521.7675960166,2042177.3840025715,521662.2649642103,1795613.3721754665,3790694.101466875,173000.82807977678,568619.80644996,649636.3789561171,1924513.1861137932,903225.5616032527,2056818.40478032,2974863.379240152,671361.4441320001,154101.8387834393,3694009.833296786,336178.60527028976,1134406.4823877106,2549869.7074550893
Florida,757451.1758788266,6116038.383935739,2942971.9830098455,1302719.2214103984,3653447.3946829434,2527708.787254367,1717344.5850482748,1407620.1859924498,1305079.2201146844,0,640375.8077729446,7610950.564592193,3476635.0107815666,1612443.485905903,1436177.1698087698,1882377.165341266,1822745.6955297461,1158230.5377432222,1006296.4906394128,2126548.2941685705,1336890.3846773081,1856178.1357886852,1685242.9556562847,2204464.8131980463,930093.4505834089,1530315.5729119445,3319083.7416481506,2071460.5915336492,3424354.5456970697,1935453.3527461356,1550993.2504883017,2457977.215984791,1651198.7701738533,880837.3624442999,2669178.246820073,1411857.9436411667,1677966.1282634062,4072878.1414267453,1465074.8779656102,1804997.577316466,693596.0535028666,2385915.789095058,993813.0464430358,1571177.0407282778,3100283.5903751235,1970331.7793299528,1153094.5378700327,4078963.02257846,1216169.4491925123,1884863.4052988428,2814774.814076647
Georgia,275969.1101109642,5497299.982708547,2593872.763543195,821238.493238819,3260183.9526120904,2031213.783864311,1331612.3352586708,1009122.1927924458,877158.9906630953,640375.8077729446,0,7282664.4727959065,2944347.852847429,972828.8896933116,796899.3677933275,1262404.5734681403,1286358.5260916431,519342.29706614645,774446.1596826181,1736830.0771267728,909295.9336619674,1482154.1609233143,1065250.1603551959,1570785.5877660804,545761.8330725338,943115.0003476336,2745347.0644371556,1493873.2436204653,2996639.062996352,1539896.6144410367,1155577.394760415,2076396.4578813165,1223297.0170370252,461040.12437226373,2047076.369318114,808954.7253433266,1224436.3184711696,3550232.3518745247,997995.0027111793,1442414.2327096974,274057.7978490423,1785708.8974668756,367745.99863706605,1307835.417973678,2611883.0774541097,1532964.187001257,731082.3299527452,3526926.5600780384,664413.470854739,1244487.7975768978,2274751.6809987994
Hawaii,7016792.177710906,4497835.175892628,4691146.311113838,6466165.944527617,4035527.604830955,5345382.661387763,8053632.584298151,7880190.162661122,7769792.612208931,7610950.564592193,7282664.4727959065,0,4666079.336415225,6773919.321259866,6962313.0654245205,6383185.495531113,6083674.119369398,7080359.584665116,6614415.165333237,8232005.059553172,7782831.128836948,8154077.178321134,7110762.102573235,6345521.262736402,6760863.857575985,6474806.078480436,5051291.113679292,6012969.304750486,4327914.399626731,8124030.82077106,7951406.264699569,5206297.4159766985,7903822.426301922,7612968.343429623,5922910.071838049,7256488.869346221,6064931.901007261,4131983.613122076,7727138.673675478,8162336.6403451,7522663.654639579,5902896.752748995,7003785.608436643,6042965.604093786,4800866.73896884,7995838.535096955,7722471.276510038,4338045.032987095,7442835.15235233,6712733.015577724,5247528.516879507
Idaho,2734356.95915403,2907539.64270698,1236098.1386168632,2173917.0413067658,1042471.5004680932,965310.0982720859,3416624.9944963134,3284304.7425549775,3191430.4986723852,3476635.0107815666,2944347.852847429,4666079.336415225,0,2191777.4707503985,2400059.2111747083,1796193.3698239706,1661630.274906716,2584735.8009119183,2547629.1306629833,3568237.797347527,3198300.137540952,3505489.801354572,2481864.9108560937,1691523.8188051402,2549492.216144611,2010051.7017394062,425094.5645596387,1469046.2771176163,765319.3943856342,3468382.191173415,3333674.325498863,1300032.3100945903,3271094.143496531,3142149.4047176307,1258142.681519099,2669964.355665929,1813933.6946398844,608376.1325354732,3118853.9864293844,3518962.1106389742,3118067.6813241905,1268474.7990190748,2594236.7963592825,2124554.476954677,485298.86226408946,3336028.3401618507,3177160.7604566524,623594.1389479496,2889586.587171267,2077638.6228676257,669844.9062554362
