state_name,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,0,5373551.468093262,2336029.638203545,593549.9818384383,2999261.366338797,1803984.3126225742,1547583.0301062965,1227926.3302151142,1094945.5907681326,756489.6165367551,271110.63406279497,7013319.536886824,2751296.3148541437,930101.9998583862,793696.1190368505,1136119.6298651784,1065545.388021846,551631.8418661999,516076.6791462512,1933711.605616908,1124804.236575202,1699345.0095929627,1117588.455087305,1475304.1690202125,268376.46919534355,776527.4176547466,2578928.0217469395,1302902.0691857638,2712126.2102713482,1746911.7143133485,1372892.8950392874,1820350.188933971,1428379.1223984554,711357.2258852344,1912534.4255734072,899513.606653118,970816.728690557,3337236.5482919477,1199072.648054242,1663092.6443134875,545525.0598139798,1619116.6067380651,312748.2473719292,1029149.5934940287,2383960.076408424,1724866.515796645,970931.2078194383,3329948.355587304,841146.3168345577,1205466.5762386175,2074249.8966516212
Alaska,5373551.468093262,0,4081351.4961744105,4867693.537441741,3555534.417411321,3825232.3689306206,5357477.748936481,5402725.728555499,5364919.887409069,6124517.059315888,5492935.679912288,4523894.977868441,2912645.5179128437,4552573.9892203165,4764270.252840922,4248354.717838842,4369702.923829985,5021440.414528437,5333731.237329007,5278195.215363035,5356172.728006754,5368731.637708074,4641443.933717688,3948201.805578452,5262356.705502951,4598342.763567325,2885994.1949175783,4087547.7798710032,3533212.6116735125,5287614.357119183,5368210.767889267,4218320.543627272,5265492.839076206,5523004.348193616,3470026.7312839665,4923959.462863361,4607912.080980285,2523405.47174283,5230122.5301212,5409110.365675516,5587463.717512427,3757085.9680340705,5141456.929191448,5015138.209642178,3413286.3335895604,5137377.433128322,5419552.758290121,2333198.7770116194,5177260.602484958,4313454.691552254,3451596.8326659743
Arizona,2336029.638203545,4081351.4961744105,0,1777420.3641480834,723967.4145614424,905602.8653298946,3534854.4447711897,3302533.0426635677,3176347.415157163,2952669.6909657856,2595973.4341227273,4677607.155566339,1238150.524206783,2249283.7086255425,2397012.560966892,1908607.1760280358,1498320.0309678311,2453310.7616216363,1941555.0441974055,3806526.717631536,3195284.9910506206,3662854.9606201807,2629404.296980934,2044997.4689377004,2080905.0347384647,1857702.0266247399,1490739.9279240184,1550900.1452015943,566890.7498825605,3659547.7235942897,3400150.625675995,527922.9862862955,3388856.5508021703,2956072.2079781867,1878137.7369794818,2695057.808206321,1400953.967506811,1564101.8472064643,3181747.0284412415,3653902.675019671,2850516.550489388,1623673.9531070695,2348842.1826965054,1393762.825641767,780519.4057236087,3559279.6634023325,3107832.4521263465,1754772.3859271398,2853505.9537171978,2288129.860823428,1118901.1734798367
Arkansas,593549.9818384383,4867693.537441741,1777420.3641480834,0,2418485.4349721167,1212252.5159118199,1862997.6186000973,1584597.2392710338,1451033.4852479945,1323315.559141548,831050.312732533,6445154.042891105,2169208.3375817216,777326.87111071,791649.4672326791,755978.2011961021,501295.4039807456,727110.1866956806,501738.43892979954,2201992.588386489,1474791.649702341,2006955.7808020592,1126797.1708701462,1119873.4782746271,401332.9061569,366423.3726664993,2024222.4759673486,783962.7801116647,2124650.3858208517,2028769.3206418024,1705276.7846619883,1252566.4672074434,1723386.0105713073,1181477.8649534467,1464451.1742766032,1050213.9320316792,383303.41962486604,2751327.803862123,1496092.0642575906,1984617.5126284321,1074861.8214876368,1125030.944774357,576064.6707315427,643633.6948583293,1790991.139788254,1964677.668376371,1361250.7572187432,2756735.478047939,1135454.1317224547,1002375.0695724819,1498404.8856905252
California,2999261.366338797,3555534.417411321,723967.4145614424,2418485.4349721167,0,1325171.0887312752,4058993.7501372024,3861008.675638477,3742734.4759158343,3650853.6563936565,3248937.173856654,4035196.89257221,1034473.4238474853,2763604.8027258147,2940449.484082315,2386280.3019068516,2057557.6731045202,3041706.2521976964,2640256.773743458,4285751.727154013,3757992.790653499,4174354.357376246,3119907.45134062,2426584.2841219935,2755155.8637093855,2429712.112715311,1425063.3214844991,2019916.86560245,331713.33746413264,4157195.922572594,3941530.007824404,1186114.035365275,3913482.2940739505,3573837.434102902,2120674.3461205973,3235995.621509885,2035183.8176497687,1066974.6535470264,3723785.1136880373,4173417.43538659,3490039.5238312255,1976275.1789745868,2971912.20246123,2104520.119760826,849970.9236393786,4041388.0211787727,3691381.067102943,1331730.2433919518,3423894.2431270615,2741690.9872763306,1331344.0067261127
Colorado,1803984.3126225742,3825232.3689306206,905602.8653298946,1212252.5159118199,1325171.0887312752,0,2733831.493764778,2541117.6776026003,2425952.023872005,2530084.6700248057,2023563.8494017338,5340418.649194685,977903.5496324922,1438913.4517566473,1620532.954369902,1062073.1348794478,766254.2596616115,1743540.746826627,1581287.788625798,2966846.5491509256,2439829.2402263773,2849659.833515133,1796103.79045407,1146479.3700012239,1600787.1458015735,1132946.1128158388,947049.4766021967,695190.3831834656,998643.7085364242,2834134.3798033535,2617766.7984943176,551134.739249463,2588355.1095772847,2292853.5357389417,992183.5741160833,1913921.9247990942,857320.1592431967,1545904.0054722787,2400523.5772854984,2848301.6269166428,2236772.4304105905,718097.424208741,1709711.9951640712,1191361.5869160949,582363.2931641336,2721248.5547684664,2382827.686833726,1582678.0554653427,2110692.2408884224,1425110.5653168652,384875.149488125
Connecticut,1547583.0301062965,5357477.748936481,3534854.4447711897,1862997.6186000973,4058993.7501372024,2733831.493764778,0,329121.33082998643,454859.5244707492,1714265.0768647366,1325349.3255575388,8050744.9237479335,3432660.412071217,1296481.5120509842,1138204.8607756072,1674933.5814828824,2036564.6279563822,1136486.8026827446,2053119.0499721223,403022.6859712147,424045.4295217618,151848.9072984125,947865.9063381144,1722943.1452327948,1780076.2385884735,1682544.2559034359,3098161.9875067724,2039714.4288542196,3731659.589031784,217672.886774805,176845.78495171908,3015008.954918324,146164.8928250603,886666.5144298467,2191347.0645929165,841005.773035033,2181208.1987805516,3998742.687759972,367003.8445145082,121674.37225097856,1095419.631175494,2148279.6228995346,1331062.9286517748,2484375.7693121633,3262649.2310342295,288648.4674142782,589169.6010758799,3871556.8045224734,733571.3301092915,1345662.7611369744,2808821.714992294
Delaware,1227926.3302151142,5402725.728555499,3302533.0426635677,1584597.2392710338,3861008.675638477,2541117.6776026003,329121.33082998643,0,135500.9136872579,1397472.2277294218,998612.691935765,7879406.409549167,3304659.17412841,1110418.5122149347,920819.8751578712,1503217.542018645,1811906.4358029978,860887.767614977,1738379.4184681738,731028.6148943824,109810.54658448191,479313.207151626,823822.6615703544,1616986.2038906475,1468302.05342168,1445459.264392907,2996741.0917737028,1856853.3747742176,3538550.241036736,543443.2838066686,153124.23634614382,2777186.0335948914,250815.3314430119,557584.5045095391,2109201.3379592504,628769.52555526,1923068.0672006488,3883838.9692578604,174031.84212561353,437703.21439139155,766417.1308529518,2011651.7863969055,1031435.7101196372,2190117.577905056,3091283.564362196,573235.5102890525,260996.46717076784,3780104.103445337,452037.09093092795,1221499.7162784757,2656175.2643958246
District of Columbia,1094945.5907681326,5364919.887409069,3176347.415157163,1451033.4852479945,3742734.4759158343,2425952.023872005,454859.5244707492,135500.9136872579,0,1302224.8305774194,870723.2308209386,7766090.609110756,3207689.064600067,1004427.828663266,806277.5405047062,1398475.8272290637,1689637.5573476562,729338.7573241408,1604114.2942890762,851643.2652587348,31735.535412964367,606577.5454513087,748337.8426272254,1534511.2570987549,1333442.4991021836,1321043.9451106386,2909274.2327410257,1746576.3265207817,3421863.5967702502,663181.1922835889,278603.8992461118,2650194.993561663,352537.07344362926,441202.7134715074,2031919.7277757465,522851.5595884315,1792693.6949327223,3790132.6827896,171693.82354366127,568326.1071275605,649570.8406239335,1915732.6949058166,896032.1513018179,2054751.079906522,2981300.995484585,673895.7299391966,140559.96976086602,3694357.684170435,322879.9298571389,1136800.6845102087,2552769.6151165413
Florida,756489.6165367551,6124517.059315888,2952669.6909657856,1323315.559141548,3650853.6563936565,2530084.6700248057,1714265.0768647366,1397472.2277294218,1302224.8305774194,0,652344.39201449,7606432.493517585,3492512.3668505084,1615811.259189383,1431916.7733240004,1877949.0543552418,1814207.8524183193,1159386.6241498855,1011537.875368055,2114216.8195191333,1332819.9806674097,1853554.8946368895,1685824.7857384402,2199709.2691501053,929318.6294544424,1532019.319404565,3333586.029993953,2059315.383950888,3385676.8467380255,1931892.9984288912,1547040.0587093339,2465749.392742014,1646520.8333278017,876245.8101688077,2657140.7261575283,1405172.0914423552,1676160.9007379422,4073481.8345316537,1464307.568441014,1801647.5490145772,690236.107714472,2374053.0020933035,991651.7841117213,1563659.169482992,3102398.3714774344,1970144.4302206093,1163755.6696787775,4078328.064644772,1219889.1359641904,1884246.1680967212,2820353.069286353
